label,sign,accuracy,n_val
21,beside,0.2903225806451613,31
95,give,0.34285714285714286,35
216,there,0.3888888888888889,36
150,nap,0.41025641025641024,39
134,lips,0.425,40
11,awake,0.45,40
231,vacuum,0.45161290322580644,31
126,jeans,0.47368421052631576,38
27,boat,0.4864864864864865,37
97,go,0.48717948717948717,39
233,wake,0.5,40
167,pen,0.5,40
149,mouth,0.5128205128205128,39
160,on,0.5135135135135135,37
161,open,0.5142857142857142,35
124,into,0.5277777777777778,36
179,puppy,0.5277777777777778,36
18,bedroom,0.5384615384615384,39
53,cut,0.5405405405405406,37
5,animal,0.5428571428571428,35
80,finger,0.5526315789473685,38
136,look,0.5609756097560976,41
225,touch,0.5675675675675675,37
241,will,0.5675675675675675,37
70,empty,0.5675675675675675,37
45,clean,0.5714285714285714,35
235,wet,0.5789473684210527,38
202,snack,0.5789473684210527,38
215,that,0.5789473684210527,38
111,hear,0.5853658536585366,41
12,backyard,0.5945945945945946,37
222,tongue,0.5945945945945946,37
20,before,0.6,35
127,jump,0.6052631578947368,38
205,stay,0.6052631578947368,38
199,sleep,0.6052631578947368,38
170,person,0.6129032258064516,31
3,all,0.6153846153846154,39
66,dryer,0.6216216216216216,37
71,every,0.6216216216216216,37
139,make,0.625,40
200,sleepy,0.625,40
144,mitten,0.631578947368421,38
190,same,0.631578947368421,38
249,zipper,0.6333333333333333,30
76,fast,0.6388888888888888,36
166,pajamas,0.6410256410256411,39
98,goose,0.6410256410256411,39
96,glasswindow,0.6410256410256411,39
152,night,0.6470588235294118,34
108,have,0.6470588235294118,34
28,book,0.6486486486486487,37
41,cheek,0.6486486486486487,37
42,child,0.6571428571428571,35
1,after,0.6571428571428571,35
185,red,0.6578947368421053,38
13,bad,0.6578947368421053,38
168,pencil,0.6666666666666666,39
175,pool,0.6666666666666666,36
137,loud,0.6666666666666666,39
135,listen,0.6666666666666666,42
4,alligator,0.6666666666666666,39
181,quiet,0.6666666666666666,36
244,yes,0.6666666666666666,39
35,can,0.6756756756756757,37
248,zebra,0.6756756756756757,37
62,drawer,0.6756756756756757,37
69,elephant,0.6842105263157895,38
227,tree,0.6842105263157895,38
74,fall,0.6842105263157895,38
84,fish,0.6842105263157895,38
43,chin,0.6857142857142857,35
232,wait,0.6857142857142857,35
52,cry,0.6923076923076923,39
186,refrigerator,0.6944444444444444,36
64,drop,0.6944444444444444,36
107,hate,0.6944444444444444,36
151,napkin,0.7,40
77,feet,0.7027027027027027,37
40,chair,0.7027027027027027,37
130,lamp,0.7027027027027027,37
192,scissors,0.7027027027027027,37
188,room,0.7027027027027027,37
180,puzzle,0.7058823529411765,34
211,table,0.7058823529411765,34
99,grandma,0.7105263157894737,38
176,potty,0.7142857142857143,35
187,ride,0.7142857142857143,35
7,any,0.7142857142857143,35
15,bath,0.7142857142857143,35
109,haveto,0.7142857142857143,35
223,tooth,0.717948717948718,39
37,carrot,0.717948717948718,39
81,finish,0.717948717948718,39
65,dry,0.717948717948718,39
92,gift,0.717948717948718,39
220,time,0.7222222222222222,36
115,hesheit,0.7222222222222222,36
164,owie,0.7222222222222222,36
38,cat,0.725,40
61,down,0.7272727272727273,33
46,close,0.7297297297297297,37
153,no,0.7297297297297297,37
73,face,0.7297297297297297,37
208,story,0.7297297297297297,37
48,cloud,0.7368421052631579,38
105,happy,0.7368421052631579,38
93,giraffe,0.7368421052631579,38
247,yucky,0.7368421052631579,38
206,sticky,0.7428571428571429,35
174,police,0.7435897435897436,39
210,sun,0.7435897435897436,39
85,flag,0.7435897435897436,39
217,think,0.75,40
154,noisy,0.75,36
6,another,0.7567567567567568,37
171,pig,0.7567567567567568,37
143,minemy,0.7631578947368421,38
142,milk,0.7631578947368421,38
201,smile,0.7631578947368421,38
94,girl,0.7631578947368421,38
191,say,0.7631578947368421,38
204,stairs,0.7631578947368421,38
121,hungry,0.7631578947368421,38
112,helicopter,0.7631578947368421,38
125,jacket,0.7647058823529411,34
101,grass,0.7692307692307693,39
2,airplane,0.7692307692307693,39
203,snow,0.7692307692307693,39
138,mad,0.7692307692307693,39
169,penny,0.7692307692307693,39
178,pretty,0.7692307692307693,39
72,eye,0.7692307692307693,39
129,kitty,0.7692307692307693,39
36,car,0.7714285714285715,35
56,dance,0.7741935483870968,31
177,pretend,0.775,40
128,kiss,0.775,40
30,brother,0.775,40
19,bee,0.775,40
67,duck,0.7804878048780488,41
117,high,0.7837837837837838,37
147,morning,0.7837837837837838,37
236,weus,0.7837837837837838,37
226,toy,0.7894736842105263,38
173,please,0.7894736842105263,38
58,dog,0.7894736842105263,38
0,TV,0.7894736842105263,38
102,green,0.7894736842105263,38
213,taste,0.7948717948717948,39
17,bed,0.8,35
145,mom,0.8,40
116,hide,0.8055555555555556,36
26,blue,0.8055555555555556,36
9,arm,0.8055555555555556,36
79,fine,0.8055555555555556,36
214,thankyou,0.8055555555555556,36
196,shoe,0.8055555555555556,36
207,store,0.8108108108108109,37
238,white,0.8108108108108109,37
157,now,0.8108108108108109,37
156,not,0.8157894736842105,38
132,like,0.8157894736842105,38
131,later,0.8157894736842105,38
183,rain,0.8157894736842105,38
89,frenchfries,0.8157894736842105,38
120,hot,0.8157894736842105,38
55,dad,0.8157894736842105,38
22,better,0.8157894736842105,38
140,man,0.8205128205128205,39
25,blow,0.8205128205128205,39
14,balloon,0.8205128205128205,39
163,outside,0.8205128205128205,39
159,old,0.8205128205128205,39
82,fireman,0.825,40
23,bird,0.825,40
224,toothbrush,0.825,40
158,nuts,0.825,40
148,mouse,0.8292682926829268,41
240,why,0.8333333333333334,36
57,dirty,0.8333333333333334,36
237,where,0.8378378378378378,37
91,garbage,0.8378378378378378,37
123,if,0.8378378378378378,37
29,boy,0.8421052631578947,38
243,yellow,0.8421052631578947,38
34,callonphone,0.8421052631578947,38
100,grandpa,0.8461538461538461,39
212,talk,0.8461538461538461,39
68,ear,0.8461538461538461,39
230,up,0.8461538461538461,39
182,radio,0.8461538461538461,39
75,farm,0.85,40
239,who,0.85,40
90,frog,0.85,40
106,hat,0.8529411764705882,34
195,shirt,0.8571428571428571,35
197,shower,0.8648648648648649,37
146,moon,0.868421052631579,38
246,yourself,0.868421052631579,38
114,hen,0.868421052631579,38
39,cereal,0.868421052631579,38
155,nose,0.868421052631579,38
54,cute,0.868421052631579,38
219,tiger,0.8717948717948718,39
242,wolf,0.8717948717948718,39
221,tomorrow,0.8717948717948718,39
133,lion,0.8717948717948718,39
44,chocolate,0.8717948717948718,39
24,black,0.8717948717948718,39
113,hello,0.8717948717948718,39
193,see,0.8717948717948718,39
59,doll,0.875,40
33,bye,0.875,40
78,find,0.875,40
31,brown,0.875,40
245,yesterday,0.875,40
86,flower,0.875,40
83,first,0.875,40
184,read,0.8888888888888888,36
229,underwear,0.8918918918918919,37
104,hair,0.8947368421052632,38
88,for,0.8947368421052632,38
