label,sign,accuracy,n_val
95,give,0.3142857142857143,35
21,beside,0.3870967741935484,31
11,awake,0.4,40
150,nap,0.41025641025641024,39
149,mouth,0.46153846153846156,39
179,puppy,0.4722222222222222,36
216,there,0.4722222222222222,36
20,before,0.4857142857142857,35
46,close,0.5135135135135135,37
215,that,0.5263157894736842,38
97,go,0.5384615384615384,39
27,boat,0.5405405405405406,37
161,open,0.5428571428571428,35
134,lips,0.55,40
233,wake,0.55,40
127,jump,0.5526315789473685,38
144,mitten,0.5526315789473685,38
124,into,0.5555555555555556,36
152,night,0.5588235294117647,34
180,puzzle,0.5588235294117647,34
168,pencil,0.5641025641025641,39
70,empty,0.5675675675675675,37
126,jeans,0.5789473684210527,38
202,snack,0.5789473684210527,38
74,fall,0.5789473684210527,38
136,look,0.5853658536585366,41
225,touch,0.5945945945945946,37
160,on,0.5945945945945946,37
66,dryer,0.5945945945945946,37
241,will,0.5945945945945946,37
139,make,0.6,40
80,finger,0.6052631578947368,38
84,fish,0.6052631578947368,38
235,wet,0.6052631578947368,38
231,vacuum,0.6129032258064516,31
178,pretty,0.6153846153846154,39
3,all,0.6153846153846154,39
18,bedroom,0.6153846153846154,39
166,pajamas,0.6153846153846154,39
41,cheek,0.6216216216216216,37
53,cut,0.6216216216216216,37
153,no,0.6216216216216216,37
205,stay,0.631578947368421,38
13,bad,0.631578947368421,38
185,red,0.631578947368421,38
199,sleep,0.631578947368421,38
186,refrigerator,0.6388888888888888,36
244,yes,0.6410256410256411,39
223,tooth,0.6410256410256411,39
170,person,0.6451612903225806,31
125,jacket,0.6470588235294118,34
188,room,0.6486486486486487,37
35,can,0.6486486486486487,37
71,every,0.6486486486486487,37
5,animal,0.6571428571428571,35
42,child,0.6571428571428571,35
1,after,0.6571428571428571,35
15,bath,0.6571428571428571,35
247,yucky,0.6578947368421053,38
105,happy,0.6578947368421053,38
111,hear,0.6585365853658537,41
85,flag,0.6666666666666666,39
76,fast,0.6666666666666666,36
52,cry,0.6666666666666666,39
115,hesheit,0.6666666666666666,36
98,goose,0.6666666666666666,39
135,listen,0.6666666666666666,42
249,zipper,0.6666666666666666,30
200,sleepy,0.675,40
12,backyard,0.6756756756756757,37
211,table,0.6764705882352942,34
190,same,0.6842105263157895,38
173,please,0.6842105263157895,38
201,smile,0.6842105263157895,38
187,ride,0.6857142857142857,35
232,wait,0.6857142857142857,35
65,dry,0.6923076923076923,39
4,alligator,0.6923076923076923,39
129,kitty,0.6923076923076923,39
64,drop,0.6944444444444444,36
116,hide,0.6944444444444444,36
61,down,0.696969696969697,33
75,farm,0.7,40
77,feet,0.7027027027027027,37
222,tongue,0.7027027027027027,37
192,scissors,0.7027027027027027,37
28,book,0.7027027027027027,37
108,have,0.7058823529411765,34
93,giraffe,0.7105263157894737,38
99,grandma,0.7105263157894737,38
43,chin,0.7142857142857143,35
7,any,0.7142857142857143,35
45,clean,0.7142857142857143,35
81,finish,0.717948717948718,39
96,glasswindow,0.717948717948718,39
72,eye,0.717948717948718,39
9,arm,0.7222222222222222,36
184,read,0.7222222222222222,36
175,pool,0.7222222222222222,36
164,owie,0.7222222222222222,36
151,napkin,0.725,40
167,pen,0.725,40
91,garbage,0.7297297297297297,37
62,drawer,0.7297297297297297,37
229,underwear,0.7297297297297297,37
40,chair,0.7297297297297297,37
22,better,0.7368421052631579,38
69,elephant,0.7368421052631579,38
227,tree,0.7368421052631579,38
206,sticky,0.7428571428571429,35
36,car,0.7428571428571429,35
176,potty,0.7428571428571429,35
17,bed,0.7428571428571429,35
210,sun,0.7435897435897436,39
213,taste,0.7435897435897436,39
137,loud,0.7435897435897436,39
154,noisy,0.75,36
224,toothbrush,0.75,40
181,quiet,0.75,36
172,pizza,0.75,40
107,hate,0.75,36
26,blue,0.75,36
217,think,0.75,40
208,story,0.7567567567567568,37
6,another,0.7567567567567568,37
117,high,0.7567567567567568,37
0,TV,0.7631578947368421,38
39,cereal,0.7631578947368421,38
191,say,0.7631578947368421,38
58,dog,0.7631578947368421,38
92,gift,0.7692307692307693,39
24,black,0.7692307692307693,39
14,balloon,0.7692307692307693,39
101,grass,0.7692307692307693,39
177,pretend,0.775,40
158,nuts,0.775,40
240,why,0.7777777777777778,36
220,time,0.7777777777777778,36
236,weus,0.7837837837837838,37
147,morning,0.7837837837837838,37
171,pig,0.7837837837837838,37
94,girl,0.7894736842105263,38
48,cloud,0.7894736842105263,38
159,old,0.7948717948717948,39
174,police,0.7948717948717948,39
203,snow,0.7948717948717948,39
68,ear,0.7948717948717948,39
163,outside,0.7948717948717948,39
38,cat,0.8,40
30,brother,0.8,40
239,who,0.8,40
82,fireman,0.8,40
128,kiss,0.8,40
196,shoe,0.8055555555555556,36
214,thankyou,0.8055555555555556,36
56,dance,0.8064516129032258,31
157,now,0.8108108108108109,37
123,if,0.8108108108108109,37
130,lamp,0.8108108108108109,37
248,zebra,0.8108108108108109,37
112,helicopter,0.8157894736842105,38
243,yellow,0.8157894736842105,38
156,not,0.8157894736842105,38
132,like,0.8157894736842105,38
89,frenchfries,0.8157894736842105,38
55,dad,0.8157894736842105,38
114,hen,0.8157894736842105,38
138,mad,0.8205128205128205,39
169,penny,0.8205128205128205,39
221,tomorrow,0.8205128205128205,39
37,carrot,0.8205128205128205,39
44,chocolate,0.8205128205128205,39
47,closet,0.8205128205128205,39
140,man,0.8205128205128205,39
133,lion,0.8205128205128205,39
19,bee,0.825,40
16,because,0.825,40
67,duck,0.8292682926829268,41
73,face,0.8378378378378378,37
142,milk,0.8421052631578947,38
120,hot,0.8421052631578947,38
102,green,0.8421052631578947,38
246,yourself,0.8421052631578947,38
121,hungry,0.8421052631578947,38
226,toy,0.8421052631578947,38
193,see,0.8461538461538461,39
2,airplane,0.8461538461538461,39
