label,sign,accuracy,n_val
95,give,0.2857142857142857,35
150,nap,0.3076923076923077,39
21,beside,0.3225806451612903,31
231,vacuum,0.3548387096774194,31
126,jeans,0.4473684210526316,38
20,before,0.45714285714285713,35
216,there,0.4722222222222222,36
11,awake,0.475,40
97,go,0.48717948717948717,39
160,on,0.5135135135135135,37
27,boat,0.5135135135135135,37
233,wake,0.525,40
152,night,0.5294117647058824,34
166,pajamas,0.5384615384615384,39
149,mouth,0.5384615384615384,39
18,bedroom,0.5384615384615384,39
225,touch,0.5405405405405406,37
134,lips,0.55,40
249,zipper,0.5666666666666667,30
70,empty,0.5675675675675675,37
241,will,0.5675675675675675,37
41,cheek,0.5675675675675675,37
202,snack,0.5789473684210527,38
205,stay,0.5789473684210527,38
13,bad,0.5789473684210527,38
235,wet,0.5789473684210527,38
179,puppy,0.5833333333333334,36
3,all,0.5897435897435898,39
53,cut,0.5945945945945946,37
42,child,0.6,35
36,car,0.6,35
5,animal,0.6,35
139,make,0.6,40
161,open,0.6,35
127,jump,0.6052631578947368,38
80,finger,0.6052631578947368,38
144,mitten,0.6052631578947368,38
199,sleep,0.6052631578947368,38
111,hear,0.6097560975609756,41
76,fast,0.6111111111111112,36
107,hate,0.6111111111111112,36
124,into,0.6111111111111112,36
170,person,0.6129032258064516,31
168,pencil,0.6153846153846154,39
125,jacket,0.6176470588235294,34
46,close,0.6216216216216216,37
215,that,0.631578947368421,38
191,say,0.631578947368421,38
67,duck,0.6341463414634146,41
136,look,0.6341463414634146,41
98,goose,0.6410256410256411,39
108,have,0.6470588235294118,34
40,chair,0.6486486486486487,37
208,story,0.6486486486486487,37
222,tongue,0.6486486486486487,37
66,dryer,0.6486486486486487,37
12,backyard,0.6486486486486487,37
167,pen,0.65,40
187,ride,0.6571428571428571,35
74,fall,0.6578947368421053,38
116,hide,0.6666666666666666,36
244,yes,0.6666666666666666,39
184,read,0.6666666666666666,36
115,hesheit,0.6666666666666666,36
223,tooth,0.6666666666666666,39
200,sleepy,0.675,40
35,can,0.6756756756756757,37
28,book,0.6756756756756757,37
192,scissors,0.6756756756756757,37
153,no,0.6756756756756757,37
188,room,0.6756756756756757,37
211,table,0.6764705882352942,34
185,red,0.6842105263157895,38
247,yucky,0.6842105263157895,38
227,tree,0.6842105263157895,38
