label,sign,accuracy,n_val
11,awake,0.325,40
95,give,0.34285714285714286,35
21,beside,0.3548387096774194,31
149,mouth,0.358974358974359,39
150,nap,0.358974358974359,39
216,there,0.3888888888888889,36
124,into,0.4166666666666667,36
231,vacuum,0.45161290322580644,31
1,after,0.45714285714285713,35
27,boat,0.4594594594594595,37
215,that,0.47368421052631576,38
136,look,0.5121951219512195,41
168,pencil,0.5128205128205128,39
160,on,0.5135135135135135,37
46,close,0.5135135135135135,37
134,lips,0.525,40
167,pen,0.525,40
126,jeans,0.5263157894736842,38
166,pajamas,0.5384615384615384,39
244,yes,0.5384615384615384,39
70,empty,0.5405405405405406,37
53,cut,0.5405405405405406,37
225,touch,0.5405405405405406,37
241,will,0.5405405405405406,37
99,grandma,0.5526315789473685,38
205,stay,0.5526315789473685,38
179,puppy,0.5555555555555556,36
125,jacket,0.5588235294117647,34
152,night,0.5588235294117647,34
3,all,0.5641025641025641,39
223,tooth,0.5641025641025641,39
97,go,0.5641025641025641,39
66,dryer,0.5675675675675675,37
12,backyard,0.5675675675675675,37
187,ride,0.5714285714285714,35
161,open,0.5714285714285714,35
235,wet,0.5789473684210527,38
170,person,0.5806451612903226,31
111,hear,0.5853658536585366,41
180,puzzle,0.5882352941176471,34
249,zipper,0.6,30
5,animal,0.6,35
232,wait,0.6,35
112,helicopter,0.6052631578947368,38
185,red,0.6052631578947368,38
190,same,0.6052631578947368,38
127,jump,0.6052631578947368,38
98,goose,0.6153846153846154,39
18,bedroom,0.6153846153846154,39
41,cheek,0.6216216216216216,37
28,book,0.6216216216216216,37
62,drawer,0.6216216216216216,37
233,wake,0.625,40
20,before,0.6285714285714286,35
80,finger,0.631578947368421,38
191,say,0.631578947368421,38
84,fish,0.631578947368421,38
76,fast,0.6388888888888888,36
248,zebra,0.6486486486486487,37
40,chair,0.6486486486486487,37
139,make,0.65,40
200,sleepy,0.65,40
42,child,0.6571428571428571,35
7,any,0.6571428571428571,35
74,fall,0.6578947368421053,38
13,bad,0.6578947368421053,38
247,yucky,0.6578947368421053,38
64,drop,0.6666666666666666,36
154,noisy,0.6666666666666666,36
159,old,0.6666666666666666,39
116,hide,0.6666666666666666,36
128,kiss,0.675,40
188,room,0.6756756756756757,37
208,story,0.6756756756756757,37
199,sleep,0.6842105263157895,38
201,smile,0.6842105263157895,38
105,happy,0.6842105263157895,38
15,bath,0.6857142857142857,35
45,clean,0.6857142857142857,35
206,sticky,0.6857142857142857,35
129,kitty,0.6923076923076923,39
178,pretty,0.6923076923076923,39
203,snow,0.6923076923076923,39
96,glasswindow,0.6923076923076923,39
9,arm,0.6944444444444444,36
115,hesheit,0.6944444444444444,36
107,hate,0.6944444444444444,36
61,down,0.696969696969697,33
75,farm,0.7,40
222,tongue,0.7027027027027027,37
171,pig,0.7027027027027027,37
153,no,0.7027027027027027,37
77,feet,0.7027027027027027,37
73,face,0.7027027027027027,37
227,tree,0.7105263157894737,38
144,mitten,0.7105263157894737,38
48,cloud,0.7105263157894737,38
22,better,0.7105263157894737,38
176,potty,0.7142857142857143,35
43,chin,0.7142857142857143,35
137,loud,0.717948717948718,39
196,shoe,0.7222222222222222,36
175,pool,0.7222222222222222,36
38,cat,0.725,40
172,pizza,0.725,40
236,weus,0.7297297297297297,37
192,scissors,0.7297297297297297,37
229,underwear,0.7297297297297297,37
211,table,0.7352941176470589,34
202,snack,0.7368421052631579,38
69,elephant,0.7368421052631579,38
39,cereal,0.7368421052631579,38
109,haveto,0.7428571428571429,35
4,alligator,0.7435897435897436,39
92,gift,0.7435897435897436,39
140,man,0.7435897435897436,39
230,up,0.7435897435897436,39
72,eye,0.7435897435897436,39
164,owie,0.75,36
240,why,0.75,36
151,napkin,0.75,40
79,fine,0.75,36
217,think,0.75,40
239,who,0.75,40
130,lamp,0.7567567567567568,37
207,store,0.7567567567567568,37
6,another,0.7567567567567568,37
71,every,0.7567567567567568,37
147,morning,0.7567567567567568,37
135,listen,0.7619047619047619,42
121,hungry,0.7631578947368421,38
93,giraffe,0.7631578947368421,38
142,milk,0.7631578947368421,38
102,green,0.7631578947368421,38
14,balloon,0.7692307692307693,39
193,see,0.7692307692307693,39
210,sun,0.7692307692307693,39
85,flag,0.7692307692307693,39
52,cry,0.7692307692307693,39
65,dry,0.7692307692307693,39
68,ear,0.7692307692307693,39
44,chocolate,0.7692307692307693,39
36,car,0.7714285714285715,35
177,pretend,0.775,40
224,toothbrush,0.775,40
186,refrigerator,0.7777777777777778,36
184,read,0.7777777777777778,36
35,can,0.7837837837837838,37
238,white,0.7837837837837838,37
143,minemy,0.7894736842105263,38
58,dog,0.7894736842105263,38
29,boy,0.7894736842105263,38
120,hot,0.7894736842105263,38
132,like,0.7894736842105263,38
156,not,0.7894736842105263,38
246,yourself,0.7894736842105263,38
0,TV,0.7894736842105263,38
242,wolf,0.7948717948717948,39
213,taste,0.7948717948717948,39
169,penny,0.7948717948717948,39
24,black,0.7948717948717948,39
81,finish,0.7948717948717948,39
30,brother,0.8,40
158,nuts,0.8,40
67,duck,0.8048780487804879,41
57,dirty,0.8055555555555556,36
220,time,0.8055555555555556,36
181,quiet,0.8055555555555556,36
214,thankyou,0.8055555555555556,36
26,blue,0.8055555555555556,36
117,high,0.8108108108108109,37
157,now,0.8108108108108109,37
131,later,0.8157894736842105,38
173,please,0.8157894736842105,38
226,toy,0.8157894736842105,38
2,airplane,0.8205128205128205,39
163,outside,0.8205128205128205,39
10,aunt,0.8205128205128205,39
37,carrot,0.8205128205128205,39
47,closet,0.8205128205128205,39
101,grass,0.8205128205128205,39
174,police,0.8205128205128205,39
189,sad,0.8205128205128205,39
138,mad,0.8205128205128205,39
59,doll,0.825,40
17,bed,0.8285714285714286,35
148,mouse,0.8292682926829268,41
91,garbage,0.8378378378378378,37
243,yellow,0.8421052631578947,38
89,frenchfries,0.8421052631578947,38
113,hello,0.8461538461538461,39
100,grandpa,0.8461538461538461,39
221,tomorrow,0.8461538461538461,39
182,radio,0.8461538461538461,39
23,bird,0.85,40
82,fireman,0.85,40
19,bee,0.85,40
108,have,0.8529411764705882,34
195,shirt,0.8571428571428571,35
218,thirsty,0.8611111111111112,36
155,nose,0.868421052631579,38
204,stairs,0.868421052631579,38
88,for,0.868421052631579,38
146,moon,0.868421052631579,38
56,dance,0.8709677419354839,31
87,food,0.8717948717948718,39
219,tiger,0.8717948717948718,39
110,head,0.8717948717948718,39
122,icecream,0.875,40
78,find,0.875,40
118,home,0.875,40
16,because,0.875,40
50,cow,0.875,40
209,stuck,0.8857142857142857,35
197,shower,0.8918918918918919,37
51,cowboy,0.8947368421052632,38
8,apple,0.8947368421052632,38
141,many,0.8947368421052632,38
94,girl,0.8947368421052632,38
114,hen,0.8947368421052632,38
183,rain,0.8947368421052632,38
234,water,0.8947368421052632,38
162,orange,0.8974358974358975,39
25,blow,0.8974358974358975,39
83,first,0.9,40
245,yesterday,0.9,40
90,frog,0.9,40
228,uncle,0.9024390243902439,41
123,if,0.918918918918919,37
34,callonphone,0.9210526315789473,38
54,cute,0.9210526315789473,38
198,sick,0.9210526315789473,38
133,lion,0.9230769230769231,39
212,talk,0.9230769230769231,39
32,bug,0.9230769230769231,39
63,drink,0.925,40
165,owl,0.925,40
86,flower,0.925,40
60,donkey,0.926829268292683,41
106,hat,0.9411764705882353,34
104,hair,0.9473684210526315,38
103,gum,0.9487179487179487,39
49,clown,0.9487179487179487,39
31,brown,0.95,40
33,bye,0.95,40
145,mom,0.95,40
194,shhh,0.9512195121951219,41
237,where,0.972972972972973,37
55,dad,0.9736842105263158,38
119,horse,0.9743589743589743,39
