label,sign,accuracy,n_val
21,beside,0.25806451612903225,31
11,awake,0.4,40
95,give,0.4,35
216,there,0.4166666666666667,36
231,vacuum,0.41935483870967744,31
150,nap,0.4358974358974359,39
134,lips,0.475,40
127,jump,0.5,38
233,wake,0.5,40
3,all,0.5128205128205128,39
166,pajamas,0.5128205128205128,39
46,close,0.5135135135135135,37
161,open,0.5142857142857142,35
126,jeans,0.5263157894736842,38
152,night,0.5294117647058824,34
135,listen,0.5476190476190477,42
215,that,0.5526315789473685,38
235,wet,0.5526315789473685,38
244,yes,0.5641025641025641,39
53,cut,0.5675675675675675,37
66,dryer,0.5675675675675675,37
27,boat,0.5675675675675675,37
36,car,0.5714285714285714,35
144,mitten,0.5789473684210527,38
179,puppy,0.5833333333333334,36
76,fast,0.5833333333333334,36
111,hear,0.5853658536585366,41
168,pencil,0.5897435897435898,39
149,mouth,0.5897435897435898,39
18,bedroom,0.5897435897435898,39
41,cheek,0.5945945945945946,37
70,empty,0.5945945945945946,37
1,after,0.6,35
187,ride,0.6,35
185,red,0.6052631578947368,38
80,finger,0.6052631578947368,38
241,will,0.6216216216216216,37
153,no,0.6216216216216216,37
12,backyard,0.6216216216216216,37
200,sleepy,0.625,40
20,before,0.6285714285714286,35
74,fall,0.631578947368421,38
249,zipper,0.6333333333333333,30
107,hate,0.6388888888888888,36
124,into,0.6388888888888888,36
223,tooth,0.6410256410256411,39
129,kitty,0.6410256410256411,39
97,go,0.6410256410256411,39
4,alligator,0.6410256410256411,39
98,goose,0.6410256410256411,39
170,person,0.6451612903225806,31
125,jacket,0.6470588235294118,34
180,puzzle,0.6470588235294118,34
188,room,0.6486486486486487,37
160,on,0.6486486486486487,37
225,touch,0.6486486486486487,37
28,book,0.6486486486486487,37
38,cat,0.65,40
167,pen,0.65,40
42,child,0.6571428571428571,35
45,clean,0.6571428571428571,35
105,happy,0.6578947368421053,38
96,glasswindow,0.6666666666666666,39
61,down,0.6666666666666666,33
116,hide,0.6666666666666666,36
14,balloon,0.6666666666666666,39
9,arm,0.6666666666666666,36
192,scissors,0.6756756756756757,37
35,can,0.6756756756756757,37
6,another,0.6756756756756757,37
136,look,0.6829268292682927,41
22,better,0.6842105263157895,38
13,bad,0.6842105263157895,38
202,snack,0.6842105263157895,38
191,say,0.6842105263157895,38
190,same,0.6842105263157895,38
227,tree,0.6842105263157895,38
247,yucky,0.6842105263157895,38
199,sleep,0.6842105263157895,38
5,animal,0.6857142857142857,35
15,bath,0.6857142857142857,35
206,sticky,0.6857142857142857,35
43,chin,0.6857142857142857,35
7,any,0.6857142857142857,35
137,loud,0.6923076923076923,39
115,hesheit,0.6944444444444444,36
