label,sign,accuracy,n_val
233,wake,0.3,40
21,beside,0.3548387096774194,31
95,give,0.37142857142857144,35
150,nap,0.41025641025641024,39
216,there,0.4166666666666667,36
53,cut,0.43243243243243246,37
97,go,0.46153846153846156,39
205,stay,0.47368421052631576,38
134,lips,0.475,40
225,touch,0.4864864864864865,37
149,mouth,0.48717948717948717,39
179,puppy,0.5,36
70,empty,0.5135135135135135,37
231,vacuum,0.5161290322580645,31
126,jeans,0.5263157894736842,38
12,backyard,0.5405405405405406,37
71,every,0.5405405405405406,37
11,awake,0.55,40
127,jump,0.5526315789473685,38
136,look,0.5609756097560976,41
3,all,0.5641025641025641,39
168,pencil,0.5641025641025641,39
28,book,0.5675675675675675,37
7,any,0.5714285714285714,35
235,wet,0.5789473684210527,38
215,that,0.5789473684210527,38
125,jacket,0.5882352941176471,34
18,bedroom,0.5897435897435898,39
27,boat,0.5945945945945946,37
46,close,0.5945945945945946,37
153,no,0.5945945945945946,37
135,listen,0.5952380952380952,42
232,wait,0.6,35
38,cat,0.6,40
1,after,0.6,35
20,before,0.6,35
202,snack,0.6052631578947368,38
199,sleep,0.6052631578947368,38
185,red,0.6052631578947368,38
61,down,0.6060606060606061,33
166,pajamas,0.6153846153846154,39
152,night,0.6176470588235294,34
241,will,0.6216216216216216,37
188,room,0.6216216216216216,37
160,on,0.6216216216216216,37
167,pen,0.625,40
161,open,0.6285714285714286,35
5,animal,0.6285714285714286,35
74,fall,0.631578947368421,38
190,same,0.631578947368421,38
80,finger,0.631578947368421,38
249,zipper,0.6333333333333333,30
111,hear,0.6341463414634146,41
116,hide,0.6388888888888888,36
76,fast,0.6388888888888888,36
178,pretty,0.6410256410256411,39
98,goose,0.6410256410256411,39
81,finish,0.6410256410256411,39
137,loud,0.6410256410256411,39
180,puzzle,0.6470588235294118,34
41,cheek,0.6486486486486487,37
151,napkin,0.65,40
45,clean,0.6571428571428571,35
42,child,0.6571428571428571,35
176,potty,0.6571428571428571,35
13,bad,0.6578947368421053,38
144,mitten,0.6578947368421053,38
99,grandma,0.6578947368421053,38
115,hesheit,0.6666666666666666,36
