label,sign,accuracy,n_val
95,give,0.22857142857142856,35
216,there,0.2777777777777778,36
21,beside,0.2903225806451613,31
231,vacuum,0.3548387096774194,31
150,nap,0.38461538461538464,39
233,wake,0.4,40
11,awake,0.4,40
180,puzzle,0.4117647058823529,34
126,jeans,0.42105263157894735,38
187,ride,0.42857142857142855,35
149,mouth,0.4358974358974359,39
134,lips,0.45,40
43,chin,0.45714285714285713,35
70,empty,0.4594594594594595,37
166,pajamas,0.46153846153846156,39
179,puppy,0.4722222222222222,36
80,finger,0.47368421052631576,38
127,jump,0.47368421052631576,38
167,pen,0.475,40
161,open,0.4857142857142857,35
46,close,0.4864864864864865,37
27,boat,0.4864864864864865,37
125,jacket,0.5,34
202,snack,0.5,38
136,look,0.5121951219512195,41
3,all,0.5128205128205128,39
222,tongue,0.5135135135135135,37
199,sleep,0.5263157894736842,38
112,helicopter,0.5263157894736842,38
152,night,0.5294117647058824,34
96,glasswindow,0.5384615384615384,39
85,flag,0.5384615384615384,39
97,go,0.5384615384615384,39
20,before,0.5428571428571428,35
170,person,0.5483870967741935,31
74,fall,0.5526315789473685,38
191,say,0.5526315789473685,38
185,red,0.5526315789473685,38
76,fast,0.5555555555555556,36
111,hear,0.5609756097560976,41
98,goose,0.5641025641025641,39
18,bedroom,0.5641025641025641,39
241,will,0.5675675675675675,37
153,no,0.5675675675675675,37
12,backyard,0.5675675675675675,37
28,book,0.5675675675675675,37
66,dryer,0.5675675675675675,37
71,every,0.5675675675675675,37
5,animal,0.5714285714285714,35
45,clean,0.5714285714285714,35
139,make,0.575,40
215,that,0.5789473684210527,38
13,bad,0.5789473684210527,38
235,wet,0.5789473684210527,38
115,hesheit,0.5833333333333334,36
64,drop,0.5833333333333334,36
53,cut,0.5945945945945946,37
62,drawer,0.5945945945945946,37
160,on,0.5945945945945946,37
225,touch,0.5945945945945946,37
188,room,0.5945945945945946,37
248,zebra,0.5945945945945946,37
41,cheek,0.5945945945945946,37
247,yucky,0.6052631578947368,38
61,down,0.6060606060606061,33
124,into,0.6111111111111112,36
223,tooth,0.6153846153846154,39
168,pencil,0.6153846153846154,39
81,finish,0.6153846153846154,39
77,feet,0.6216216216216216,37
200,sleepy,0.625,40
1,after,0.6285714285714286,35
232,wait,0.6285714285714286,35
36,car,0.6285714285714286,35
58,dog,0.631578947368421,38
48,cloud,0.631578947368421,38
84,fish,0.631578947368421,38
184,read,0.6388888888888888,36
116,hide,0.6388888888888888,36
72,eye,0.6410256410256411,39
244,yes,0.6410256410256411,39
4,alligator,0.6410256410256411,39
137,loud,0.6410256410256411,39
135,listen,0.6428571428571429,42
38,cat,0.65,40
128,kiss,0.65,40
7,any,0.6571428571428571,35
42,child,0.6571428571428571,35
190,same,0.6578947368421053,38
105,happy,0.6578947368421053,38
99,grandma,0.6578947368421053,38
143,minemy,0.6578947368421053,38
144,mitten,0.6578947368421053,38
186,refrigerator,0.6666666666666666,36
178,pretty,0.6666666666666666,39
52,cry,0.6666666666666666,39
65,dry,0.6666666666666666,39
177,pretend,0.675,40
56,dance,0.6774193548387096,31
227,tree,0.6842105263157895,38
205,stay,0.6842105263157895,38
201,smile,0.6842105263157895,38
22,better,0.6842105263157895,38
37,carrot,0.6923076923076923,39
159,old,0.6923076923076923,39
138,mad,0.6923076923076923,39
