label,sign,accuracy,n_val
95,give,0.3142857142857143,35
150,nap,0.3333333333333333,39
21,beside,0.3548387096774194,31
216,there,0.3611111111111111,36
149,mouth,0.38461538461538464,39
231,vacuum,0.3870967741935484,31
11,awake,0.425,40
161,open,0.42857142857142855,35
215,that,0.4473684210526316,38
136,look,0.5121951219512195,41
166,pajamas,0.5128205128205128,39
97,go,0.5128205128205128,39
233,wake,0.525,40
126,jeans,0.5263157894736842,38
76,fast,0.5277777777777778,36
41,cheek,0.5405405405405406,37
160,on,0.5405405405405406,37
235,wet,0.5526315789473685,38
180,puzzle,0.5588235294117647,34
152,night,0.5588235294117647,34
108,have,0.5588235294117647,34
3,all,0.5641025641025641,39
70,empty,0.5675675675675675,37
20,before,0.5714285714285714,35
43,chin,0.5714285714285714,35
1,after,0.5714285714285714,35
167,pen,0.575,40
199,sleep,0.5789473684210527,38
202,snack,0.5789473684210527,38
179,puppy,0.5833333333333334,36
111,hear,0.5853658536585366,41
125,jacket,0.5882352941176471,34
168,pencil,0.5897435897435898,39
18,bedroom,0.5897435897435898,39
27,boat,0.5945945945945946,37
46,close,0.5945945945945946,37
12,backyard,0.5945945945945946,37
66,dryer,0.5945945945945946,37
139,make,0.6,40
206,sticky,0.6,35
249,zipper,0.6,30
134,lips,0.6,40
144,mitten,0.6052631578947368,38
205,stay,0.6052631578947368,38
127,jump,0.6052631578947368,38
107,hate,0.6111111111111112,36
124,into,0.6111111111111112,36
72,eye,0.6153846153846154,39
65,dry,0.6153846153846154,39
98,goose,0.6153846153846154,39
71,every,0.6216216216216216,37
53,cut,0.6216216216216216,37
241,will,0.6216216216216216,37
153,no,0.6216216216216216,37
5,animal,0.6285714285714286,35
187,ride,0.6285714285714286,35
42,child,0.6285714285714286,35
74,fall,0.631578947368421,38
116,hide,0.6388888888888888,36
129,kitty,0.6410256410256411,39
223,tooth,0.6410256410256411,39
170,person,0.6451612903225806,31
40,chair,0.6486486486486487,37
28,book,0.6486486486486487,37
208,story,0.6486486486486487,37
188,room,0.6486486486486487,37
36,car,0.6571428571428571,35
45,clean,0.6571428571428571,35
232,wait,0.6571428571428571,35
190,same,0.6578947368421053,38
247,yucky,0.6578947368421053,38
185,red,0.6578947368421053,38
115,hesheit,0.6666666666666666,36
64,drop,0.6666666666666666,36
154,noisy,0.6666666666666666,36
244,yes,0.6666666666666666,39
96,glasswindow,0.6666666666666666,39
151,napkin,0.675,40
200,sleepy,0.675,40
217,think,0.675,40
77,feet,0.6756756756756757,37
73,face,0.6756756756756757,37
222,tongue,0.6756756756756757,37
35,can,0.6756756756756757,37
225,touch,0.6756756756756757,37
56,dance,0.6774193548387096,31
227,tree,0.6842105263157895,38
191,say,0.6842105263157895,38
13,bad,0.6842105263157895,38
112,helicopter,0.6842105263157895,38
80,finger,0.6842105263157895,38
99,grandma,0.6842105263157895,38
7,any,0.6857142857142857,35
9,arm,0.6944444444444444,36
61,down,0.696969696969697,33
224,toothbrush,0.7,40
211,table,0.7058823529411765,34
93,giraffe,0.7105263157894737,38
22,better,0.7105263157894737,38
69,elephant,0.7105263157894737,38
176,potty,0.7142857142857143,35
135,listen,0.7142857142857143,42
92,gift,0.717948717948718,39
14,balloon,0.717948717948718,39
4,alligator,0.717948717948718,39
137,loud,0.717948717948718,39
203,snow,0.717948717948718,39
