label,sign,accuracy,n_val
21,beside,0.3225806451612903,31
95,give,0.34285714285714286,35
233,wake,0.35,40
11,awake,0.425,40
150,nap,0.4358974358974359,39
216,there,0.4722222222222222,36
215,that,0.47368421052631576,38
231,vacuum,0.4838709677419355,31
161,open,0.4857142857142857,35
134,lips,0.525,40
126,jeans,0.5263157894736842,38
84,fish,0.5263157894736842,38
125,jacket,0.5294117647058824,34
149,mouth,0.5384615384615384,39
18,bedroom,0.5384615384615384,39
97,go,0.5384615384615384,39
41,cheek,0.5405405405405406,37
46,close,0.5405405405405406,37
225,touch,0.5405405405405406,37
167,pen,0.55,40
127,jump,0.5526315789473685,38
70,empty,0.5675675675675675,37
27,boat,0.5675675675675675,37
235,wet,0.5789473684210527,38
247,yucky,0.5789473684210527,38
13,bad,0.5789473684210527,38
76,fast,0.5833333333333334,36
136,look,0.5853658536585366,41
166,pajamas,0.5897435897435898,39
241,will,0.5945945945945946,37
53,cut,0.5945945945945946,37
12,backyard,0.5945945945945946,37
249,zipper,0.6,30
20,before,0.6,35
232,wait,0.6,35
185,red,0.6052631578947368,38
124,into,0.6111111111111112,36
179,puppy,0.6111111111111112,36
98,goose,0.6153846153846154,39
3,all,0.6153846153846154,39
168,pencil,0.6153846153846154,39
66,dryer,0.6216216216216216,37
28,book,0.6216216216216216,37
160,on,0.6216216216216216,37
1,after,0.6285714285714286,35
42,child,0.6285714285714286,35
199,sleep,0.631578947368421,38
144,mitten,0.631578947368421,38
190,same,0.631578947368421,38
99,grandma,0.631578947368421,38
74,fall,0.631578947368421,38
105,happy,0.631578947368421,38
115,hesheit,0.6388888888888888,36
186,refrigerator,0.6388888888888888,36
244,yes,0.6410256410256411,39
178,pretty,0.6410256410256411,39
4,alligator,0.6410256410256411,39
135,listen,0.6428571428571429,42
170,person,0.6451612903225806,31
153,no,0.6486486486486487,37
40,chair,0.6486486486486487,37
139,make,0.65,40
5,animal,0.6571428571428571,35
43,chin,0.6571428571428571,35
206,sticky,0.6571428571428571,35
112,helicopter,0.6578947368421053,38
205,stay,0.6578947368421053,38
111,hear,0.6585365853658537,41
81,finish,0.6666666666666666,39
137,loud,0.6666666666666666,39
129,kitty,0.6666666666666666,39
107,hate,0.6666666666666666,36
224,toothbrush,0.675,40
200,sleepy,0.675,40
208,story,0.6756756756756757,37
236,weus,0.6756756756756757,37
62,drawer,0.6756756756756757,37
71,every,0.6756756756756757,37
180,puzzle,0.6764705882352942,34
108,have,0.6764705882352942,34
211,table,0.6764705882352942,34
152,night,0.6764705882352942,34
56,dance,0.6774193548387096,31
69,elephant,0.6842105263157895,38
191,say,0.6842105263157895,38
142,milk,0.6842105263157895,38
15,bath,0.6857142857142857,35
45,clean,0.6857142857142857,35
163,outside,0.6923076923076923,39
203,snow,0.6923076923076923,39
77,feet,0.7027027027027027,37
192,scissors,0.7027027027027027,37
202,snack,0.7105263157894737,38
80,finger,0.7105263157894737,38
17,bed,0.7142857142857143,35
7,any,0.7142857142857143,35
52,cry,0.717948717948718,39
96,glasswindow,0.717948717948718,39
223,tooth,0.717948717948718,39
140,man,0.717948717948718,39
79,fine,0.7222222222222222,36
164,owie,0.7222222222222222,36
116,hide,0.7222222222222222,36
9,arm,0.7222222222222222,36
38,cat,0.725,40
188,room,0.7297297297297297,37
73,face,0.7297297297297297,37
130,lamp,0.7297297297297297,37
35,can,0.7297297297297297,37
67,duck,0.7317073170731707,41
227,tree,0.7368421052631579,38
187,ride,0.7428571428571429,35
159,old,0.7435897435897436,39
72,eye,0.7435897435897436,39
85,flag,0.7435897435897436,39
175,pool,0.75,36
214,thankyou,0.75,36
239,who,0.75,40
181,quiet,0.75,36
147,morning,0.7567567567567568,37
171,pig,0.7567567567567568,37
117,high,0.7567567567567568,37
61,down,0.7575757575757576,33
201,smile,0.7631578947368421,38
204,stairs,0.7631578947368421,38
58,dog,0.7631578947368421,38
93,giraffe,0.7631578947368421,38
121,hungry,0.7631578947368421,38
210,sun,0.7692307692307693,39
101,grass,0.7692307692307693,39
37,carrot,0.7692307692307693,39
176,potty,0.7714285714285715,35
36,car,0.7714285714285715,35
151,napkin,0.775,40
172,pizza,0.775,40
177,pretend,0.775,40
245,yesterday,0.775,40
220,time,0.7777777777777778,36
196,shoe,0.7777777777777778,36
184,read,0.7777777777777778,36
26,blue,0.7777777777777778,36
207,store,0.7837837837837838,37
222,tongue,0.7837837837837838,37
6,another,0.7837837837837838,37
91,garbage,0.7837837837837838,37
120,hot,0.7894736842105263,38
48,cloud,0.7894736842105263,38
226,toy,0.7894736842105263,38
143,minemy,0.7894736842105263,38
0,TV,0.7894736842105263,38
22,better,0.7894736842105263,38
29,boy,0.7894736842105263,38
131,later,0.7894736842105263,38
156,not,0.7894736842105263,38
182,radio,0.7948717948717948,39
174,police,0.7948717948717948,39
65,dry,0.7948717948717948,39
158,nuts,0.8,40
128,kiss,0.8,40
217,think,0.8,40
109,haveto,0.8,35
75,farm,0.8,40
23,bird,0.8,40
82,fireman,0.8,40
19,bee,0.8,40
30,brother,0.8,40
16,because,0.8,40
64,drop,0.8055555555555556,36
57,dirty,0.8055555555555556,36
248,zebra,0.8108108108108109,37
123,if,0.8108108108108109,37
229,underwear,0.8108108108108109,37
39,cereal,0.8157894736842105,38
55,dad,0.8157894736842105,38
102,green,0.8157894736842105,38
114,hen,0.8157894736842105,38
94,girl,0.8157894736842105,38
133,lion,0.8205128205128205,39
14,balloon,0.8205128205128205,39
87,food,0.8205128205128205,39
47,closet,0.8205128205128205,39
169,penny,0.8205128205128205,39
219,tiger,0.8205128205128205,39
138,mad,0.8205128205128205,39
78,find,0.825,40
59,doll,0.825,40
195,shirt,0.8285714285714286,35
240,why,0.8333333333333334,36
157,now,0.8378378378378378,37
