label,sign,accuracy,n_val
21,beside,0.22580645161290322,31
95,give,0.3142857142857143,35
11,awake,0.35,40
150,nap,0.38461538461538464,39
216,there,0.4166666666666667,36
134,lips,0.45,40
231,vacuum,0.45161290322580644,31
179,puppy,0.4722222222222222,36
18,bedroom,0.48717948717948717,39
126,jeans,0.5263157894736842,38
115,hesheit,0.5277777777777778,36
136,look,0.5365853658536586,41
3,all,0.5384615384615384,39
166,pajamas,0.5384615384615384,39
53,cut,0.5405405405405406,37
27,boat,0.5405405405405406,37
46,close,0.5405405405405406,37
233,wake,0.55,40
144,mitten,0.5526315789473685,38
205,stay,0.5526315789473685,38
152,night,0.5588235294117647,34
168,pencil,0.5641025641025641,39
97,go,0.5641025641025641,39
188,room,0.5675675675675675,37
12,backyard,0.5675675675675675,37
66,dryer,0.5675675675675675,37
161,open,0.5714285714285714,35
20,before,0.5714285714285714,35
202,snack,0.5789473684210527,38
185,red,0.5789473684210527,38
124,into,0.5833333333333334,36
149,mouth,0.5897435897435898,39
160,on,0.5945945945945946,37
41,cheek,0.5945945945945946,37
249,zipper,0.6,30
84,fish,0.6052631578947368,38
235,wet,0.6052631578947368,38
76,fast,0.6111111111111112,36
170,person,0.6129032258064516,31
137,loud,0.6153846153846154,39
62,drawer,0.6216216216216216,37
28,book,0.6216216216216216,37
167,pen,0.625,40
5,animal,0.6285714285714286,35
42,child,0.6285714285714286,35
199,sleep,0.631578947368421,38
127,jump,0.631578947368421,38
215,that,0.631578947368421,38
80,finger,0.631578947368421,38
4,alligator,0.6410256410256411,39
223,tooth,0.6410256410256411,39
98,goose,0.6410256410256411,39
244,yes,0.6410256410256411,39
125,jacket,0.6470588235294118,34
153,no,0.6486486486486487,37
241,will,0.6486486486486487,37
222,tongue,0.6486486486486487,37
232,wait,0.6571428571428571,35
206,sticky,0.6571428571428571,35
1,after,0.6571428571428571,35
74,fall,0.6578947368421053,38
227,tree,0.6578947368421053,38
107,hate,0.6666666666666666,36
96,glasswindow,0.6666666666666666,39
135,listen,0.6666666666666666,42
225,touch,0.6756756756756757,37
70,empty,0.6756756756756757,37
180,puzzle,0.6764705882352942,34
111,hear,0.6829268292682927,41
13,bad,0.6842105263157895,38
69,elephant,0.6842105263157895,38
43,chin,0.6857142857142857,35
81,finish,0.6923076923076923,39
181,quiet,0.6944444444444444,36
61,down,0.696969696969697,33
172,pizza,0.7,40
217,think,0.7,40
200,sleepy,0.7,40
40,chair,0.7027027027027027,37
35,can,0.7027027027027027,37
77,feet,0.7027027027027027,37
192,scissors,0.7027027027027027,37
248,zebra,0.7027027027027027,37
108,have,0.7058823529411765,34
56,dance,0.7096774193548387,31
247,yucky,0.7105263157894737,38
173,please,0.7105263157894737,38
191,say,0.7105263157894737,38
105,happy,0.7105263157894737,38
112,helicopter,0.7105263157894737,38
190,same,0.7105263157894737,38
176,potty,0.7142857142857143,35
187,ride,0.7142857142857143,35
7,any,0.7142857142857143,35
45,clean,0.7142857142857143,35
178,pretty,0.717948717948718,39
24,black,0.717948717948718,39
65,dry,0.717948717948718,39
210,sun,0.717948717948718,39
116,hide,0.7222222222222222,36
186,refrigerator,0.7222222222222222,36
171,pig,0.7297297297297297,37
71,every,0.7297297297297297,37
147,morning,0.7297297297297297,37
93,giraffe,0.7368421052631579,38
17,bed,0.7428571428571429,35
203,snow,0.7435897435897436,39
159,old,0.7435897435897436,39
72,eye,0.7435897435897436,39
220,time,0.75,36
177,pretend,0.75,40
164,owie,0.75,36
128,kiss,0.75,40
139,make,0.75,40
9,arm,0.75,36
214,thankyou,0.75,36
64,drop,0.75,36
73,face,0.7567567567567568,37
208,story,0.7567567567567568,37
6,another,0.7567567567567568,37
143,minemy,0.7631578947368421,38
201,smile,0.7631578947368421,38
48,cloud,0.7631578947368421,38
99,grandma,0.7631578947368421,38
22,better,0.7631578947368421,38
0,TV,0.7631578947368421,38
39,cereal,0.7631578947368421,38
246,yourself,0.7631578947368421,38
204,stairs,0.7631578947368421,38
52,cry,0.7692307692307693,39
138,mad,0.7692307692307693,39
129,kitty,0.7692307692307693,39
133,lion,0.7692307692307693,39
174,police,0.7692307692307693,39
85,flag,0.7692307692307693,39
92,gift,0.7692307692307693,39
37,carrot,0.7692307692307693,39
15,bath,0.7714285714285715,35
75,farm,0.775,40
30,brother,0.775,40
245,yesterday,0.775,40
38,cat,0.775,40
79,fine,0.7777777777777778,36
154,noisy,0.7777777777777778,36
130,lamp,0.7837837837837838,37
207,store,0.7837837837837838,37
91,garbage,0.7837837837837838,37
117,high,0.7837837837837838,37
121,hungry,0.7894736842105263,38
102,green,0.7894736842105263,38
142,milk,0.7894736842105263,38
120,hot,0.7894736842105263,38
211,table,0.7941176470588235,34
14,balloon,0.7948717948717948,39
101,grass,0.7948717948717948,39
47,closet,0.7948717948717948,39
140,man,0.7948717948717948,39
169,penny,0.7948717948717948,39
44,chocolate,0.7948717948717948,39
151,napkin,0.8,40
36,car,0.8,35
19,bee,0.8,40
109,haveto,0.8,35
224,toothbrush,0.8,40
240,why,0.8055555555555556,36
175,pool,0.8055555555555556,36
26,blue,0.8055555555555556,36
236,weus,0.8108108108108109,37
123,if,0.8108108108108109,37
55,dad,0.8157894736842105,38
243,yellow,0.8157894736842105,38
141,many,0.8157894736842105,38
183,rain,0.8157894736842105,38
156,not,0.8157894736842105,38
10,aunt,0.8205128205128205,39
193,see,0.8205128205128205,39
182,radio,0.8205128205128205,39
158,nuts,0.825,40
239,who,0.825,40
59,doll,0.825,40
23,bird,0.825,40
122,icecream,0.825,40
195,shirt,0.8285714285714286,35
148,mouse,0.8292682926829268,41
184,read,0.8333333333333334,36
218,thirsty,0.8333333333333334,36
229,underwear,0.8378378378378378,37
238,white,0.8378378378378378,37
29,boy,0.8421052631578947,38
226,toy,0.8421052631578947,38
2,airplane,0.8461538461538461,39
25,blow,0.8461538461538461,39
230,up,0.8461538461538461,39
242,wolf,0.8461538461538461,39
213,taste,0.8461538461538461,39
163,outside,0.8461538461538461,39
221,tomorrow,0.8461538461538461,39
82,fireman,0.85,40
83,first,0.85,40
67,duck,0.8536585365853658,41
60,donkey,0.8536585365853658,41
57,dirty,0.8611111111111112,36
196,shoe,0.8611111111111112,36
237,where,0.8648648648648649,37
146,moon,0.868421052631579,38
131,later,0.868421052631579,38
234,water,0.868421052631579,38
132,like,0.868421052631579,38
94,girl,0.868421052631579,38
89,frenchfries,0.868421052631579,38
88,for,0.868421052631579,38
114,hen,0.868421052631579,38
104,hair,0.868421052631579,38
58,dog,0.868421052631579,38
87,food,0.8717948717948718,39
49,clown,0.8717948717948718,39
113,hello,0.8717948717948718,39
162,orange,0.8717948717948718,39
219,tiger,0.8717948717948718,39
110,head,0.8717948717948718,39
78,find,0.875,40
50,cow,0.875,40
16,because,0.875,40
145,mom,0.875,40
165,owl,0.875,40
106,hat,0.8823529411764706,34
157,now,0.8918918918918919,37
197,shower,0.8918918918918919,37
34,callonphone,0.8947368421052632,38
155,nose,0.8947368421052632,38
189,sad,0.8974358974358975,39
100,grandpa,0.8974358974358975,39
119,horse,0.8974358974358975,39
32,bug,0.8974358974358975,39
33,bye,0.9,40
118,home,0.9,40
86,flower,0.9,40
90,frog,0.9,40
8,apple,0.9210526315789473,38
51,cowboy,0.9210526315789473,38
54,cute,0.9210526315789473,38
212,talk,0.9230769230769231,39
31,brown,0.925,40
63,drink,0.925,40
209,stuck,0.9428571428571428,35
198,sick,0.9473684210526315,38
68,ear,0.9487179487179487,39
228,uncle,0.9512195121951219,41
103,gum,1.0,39
194,shhh,1.0,41
